PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
100	10.449125798490453	oxygen_supply_in	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	48	1	49	0	0	
101	10.694104877454926	oxygen_supply_out	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	48	2	48	0	0	
102	10.826125068071505	oxygen_supply_out	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	48	3	47	0	0	
103	11.184890447684177	T2	11	1	47	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	47	3	47	0	0	
104	11.34990463718044	oxygen_supply_in	11	1	47	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	47	2	48	0	0	
105	11.459739949084543	T28	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	48	2	48	0	0	
106	11.545239503658841	oxygen_supply_in	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	48	1	49	0	0	
107	11.65140082188027	interface_HIF1α	11	0	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	49	1	49	0	0	
108	11.771148731806125	T30	11	0	49	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	49	1	49	0	0	
109	11.784134256771223	oxygen_supply_in	11	0	49	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	49	0	50	0	0	
110	11.950346465328229	interface_HIF1α	11	0	49	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	50	0	50	0	0	
111	12.159441523811857	T30	11	0	50	48	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	0	50	0	0	
112	12.326177857517264	interface_HIF1α	11	0	50	48	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	51	0	50	0	0	
113	12.648954088989449	T_HIF-1αβ_diss	11	0	50	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	0	50	0	0	
114	12.790127249649496	T2	11	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	51	0	50	0	0	
115	12.971893292029575	T_HIF-1αβ_ass-PHD	11	1	48	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	51	0	50	0	0	
116	13.059269193154947	T3	11	1	48	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	50	0	50	0	0	
117	13.10780786630715	oxygenation_HIF-1αβ	11	1	49	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	50	0	50	0	0	
118	13.213753578876586	interface_HIF1α	11	1	49	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	51	0	50	0	0	
119	13.338940462357428	T_HIF-1αβ_ass-PHD	11	1	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	51	0	50	0	0	
120	13.409752807597652	interface_HIF1α	11	1	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	52	0	50	0	0	
121	13.60262405644548	T29	11	1	48	48	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	52	0	50	0	0	
122	13.613626574726442	T9	11	1	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	52	0	50	0	0	
123	13.86816208887609	interface_HIF1α	11	1	48	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	53	0	50	0	0	
124	13.905357413104976	oxygenation_HIF-1αβ	11	1	49	48	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	53	0	50	0	0	
125	13.97217929228497	T29	11	1	49	48	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	53	0	50	0	0	
126	14.167691389017447	T29	11	1	49	48	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	53	0	50	0	0	
127	14.733713349509204	T3	11	1	49	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	52	0	50	0	0	
128	15.021523498547273	oxygen_supply_out	11	1	49	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	52	1	49	0	0	
129	15.229516427608559	T28	11	0	50	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	53	1	49	0	0	
130	15.278973963582315	oxygen_supply_out	11	0	50	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	53	2	48	0	0	
131	15.482618312934715	T2	11	1	49	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	52	2	48	0	0	
132	15.626224233109372	T2	11	2	48	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	51	2	48	0	0	
133	15.683553040864615	oxygen_supply_out	11	2	48	47	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	51	3	47	0	0	
134	15.703781341309677	T_HIF-1αβ_ass-PHD	11	2	47	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	51	3	47	0	0	
135	15.738485299653592	oxygen_supply_out	11	2	47	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	51	4	46	0	0	
136	15.921899046189052	interface_HIF1α	11	2	47	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	52	4	46	0	0	
137	15.991715809503871	oxygenation_HIF-1αβ	11	2	48	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	52	4	46	0	0	
138	15.993258549407894	oxygenation_HIF-1α	12	1	49	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	52	4	46	0	0	
139	16.082054885219293	T29	12	1	49	47	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	52	4	46	0	0	
140	16.09149241212196	interface_HIF1α	12	1	49	47	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	53	4	46	0	0	
141	16.131368772728717	interface_HIF1α	12	1	49	47	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	54	4	46	0	0	
142	16.561457006232295	oxygen_supply_in	12	1	49	47	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	54	3	47	0	0	
143	16.570559198576717	T9	12	1	49	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	54	3	47	0	0	
144	16.65146556793938	oxygen_supply_out	12	1	49	47	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	54	4	46	0	0	
145	16.753575505154778	T3	12	1	49	46	1	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	53	4	46	0	0	
146	16.834683486166444	T9	12	1	49	46	1	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	53	4	46	0	0	
147	16.94381121738872	T2	12	2	48	46	1	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	52	4	46	0	0	
148	17.02249324497369	oxygen_supply_in	12	2	48	46	1	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	52	3	47	0	0	
