PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
88	9.026888464318137	HIF1α-OH-VHL_ass	1	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	5	1	0	0	0	1	49	19	31	0	0	
89	9.057722596945442	HIF-1αβ-PHD_diss	1	0	50	48	2	0	0	50	0	1	1	0	1	1	0	0	0	47	3	5	0	0	0	0	1	49	19	31	0	0	
90	9.192281077238183	oxygen_supply_out	1	0	50	48	2	0	0	50	0	1	1	0	1	1	0	0	0	47	3	5	0	0	0	0	1	49	20	30	0	0	
91	9.21156265683234	HIF-1αβ_ass	1	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	47	3	5	0	0	0	0	1	48	20	30	0	0	
92	9.421715158845997	HIF-1α-PHD_ass	1	1	49	47	3	0	0	50	0	1	1	0	1	1	0	0	0	47	3	5	0	0	0	0	1	47	20	30	0	0	
93	9.466090200049727	oxygenation_HIF-1α	2	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	47	3	5	0	0	0	0	1	47	20	30	0	0	
94	9.699708719035817	HIF1α-OH-VHL_degradation	2	0	50	47	3	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	0	0	0	0	1	47	20	30	0	0	
95	9.732596420030072	HIF-1αβ_diss	2	0	50	48	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	0	0	0	0	1	48	20	30	0	0	
96	9.762073751771705	oxygen_supply_out	2	0	50	48	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	0	0	0	0	1	48	21	29	0	0	
97	9.770949555976546	HIF-1αβ_diss	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	0	0	0	0	1	49	21	29	0	0	
98	9.907613643208581	HIF-1αβ_ass	2	0	50	48	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	0	0	0	0	1	48	21	29	0	0	
99	10.011658876763164	HIF-1αβ-PHD_ass	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	1	0	0	0	1	48	21	29	0	0	
100	10.115247643511136	HIF-1αβ-PHD_ass	2	0	48	48	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	2	0	0	0	1	48	21	29	0	0	
101	10.133861860760621	HIF-1αβ-PHD_diss	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	6	1	0	0	0	1	48	21	29	0	0	
102	10.18198111358594	HIF1α-OH-VHL_degradation	2	0	49	48	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	7	1	0	0	0	1	48	21	29	0	0	
