PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
68	12.175562386287915	HIF-1αβ-HRE_Transcription	0	0	48	46	0	2	1	48	2	1	1	2	1	1	8	0	0	50	0	0	2	0	0	3	0	63	50	0	1	0	
69	12.181922723319493	HIF-1αβ_ass	0	0	48	45	1	2	1	48	2	1	1	2	1	1	8	0	0	50	0	0	2	0	0	3	0	62	50	0	1	0	
70	12.213793126655766	HIF-1αβ-PHD_diss	0	0	49	45	2	2	1	48	2	1	1	2	1	1	8	0	0	50	0	0	1	0	0	3	0	62	50	0	1	0	
71	12.236233316501336	CA9_degradation	0	0	49	45	2	2	1	48	2	1	1	2	1	1	8	0	0	50	0	0	1	0	0	2	0	62	50	0	1	1	
72	12.243151833444506	HIF-1αβ_diss	0	0	49	46	1	2	1	48	2	1	1	2	1	1	8	0	0	50	0	0	1	0	0	2	0	63	50	0	1	1	
73	12.28250422246184	HIF-1αβ-HRE_ass	0	0	49	46	0	3	1	47	2	1	1	2	1	1	8	0	0	50	0	0	1	0	0	2	0	63	50	0	1	1	
74	12.297119500804367	H2O-CO2-conversion	0	0	49	46	0	3	1	47	3	1	1	3	1	1	8	0	0	50	0	0	1	0	0	2	0	63	50	0	1	1	
75	12.385673654950729	CA9_degradation	0	0	49	46	0	3	1	47	3	1	1	3	1	1	8	0	0	50	0	0	1	0	0	1	0	63	50	0	1	2	
76	12.40522179847539	HCO3-H+_conversion	0	0	49	46	0	3	1	47	3	1	1	2	1	1	7	1	1	50	0	0	1	0	0	1	0	63	50	0	1	2	
77	12.419745877308902	CA9_degradation	0	0	49	46	0	3	1	47	3	1	1	2	1	1	7	1	1	50	0	0	1	0	0	0	0	63	50	0	1	3	
78	12.454690199509644	HCO3-H+_conversion	0	0	49	46	0	3	1	47	3	1	1	1	1	1	6	2	2	50	0	0	1	0	0	0	0	63	50	0	1	3	
79	12.539644128379484	anaerobic-metabolism	0	0	49	46	0	3	1	47	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	0	0	63	50	0	1	3	
80	12.617205023833717	mRNA_translation	0	0	49	46	0	3	0	47	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	1	0	63	50	0	1	3	
81	12.68414294657602	HIF-1αβ_ass	0	0	49	45	1	3	0	47	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	1	0	62	50	0	1	3	
82	12.745389498729706	HIF-1αβ-HRE_diss	0	0	49	45	2	2	0	48	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	1	0	62	50	0	1	3	
83	12.787543277229041	HIF-1αβ-HRE_ass	0	0	49	45	1	3	0	47	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	1	0	62	50	0	1	3	
84	12.959901788981945	interface_HIF1α	0	0	49	45	1	3	0	47	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	1	0	63	50	0	1	3	
85	12.993288028180254	HIF-1αβ_diss	0	0	49	46	0	3	0	47	3	1	1	1	1	1	7	2	2	50	0	0	1	0	0	1	0	64	50	0	1	3	
86	13.137812036359385	H2O-CO2-conversion	0	0	49	46	0	3	0	47	4	1	1	2	1	1	7	2	2	50	0	0	1	0	0	1	0	64	50	0	1	3	
87	13.151072274768753	anaerobic-metabolism	0	0	49	46	0	3	0	47	4	1	1	2	1	1	8	2	2	50	0	0	1	0	0	1	0	64	50	0	1	3	
88	13.425938081965922	HIF-1αβ-HRE_Transcription	0	0	49	46	0	3	1	47	4	1	1	2	1	1	8	2	2	50	0	0	1	0	0	1	0	64	50	0	1	3	
89	13.437117000721855	interface_HIF1α	0	0	49	46	0	3	1	47	4	1	1	2	1	1	8	2	2	50	0	0	1	0	0	1	0	65	50	0	1	3	
90	13.472865824245977	H2O-CO2-conversion	0	0	49	46	0	3	1	47	5	1	1	3	1	1	8	2	2	50	0	0	1	0	0	1	0	65	50	0	1	3	
91	13.57838293285478	HIF-1α-PHD_ass	0	1	48	46	0	3	1	47	5	1	1	3	1	1	8	2	2	50	0	0	1	0	0	1	0	64	50	0	1	3	
92	13.583652272846376	mRNA_translation	0	1	48	46	0	3	0	47	5	1	1	3	1	1	8	2	2	50	0	0	1	0	0	2	0	64	50	0	1	3	
93	13.602933852440533	H2O-CO2-conversion	0	1	48	46	0	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	1	0	0	2	0	64	50	0	1	3	
94	13.773891098103054	HIF-1α-PHD_ass	0	2	47	46	0	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	1	0	0	2	0	63	50	0	1	3	
95	13.972385600271418	HIF-1α-PHD_diss	0	1	48	46	0	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	1	0	0	2	0	64	50	0	1	3	
96	14.206004119257507	HIF-1αβ-PHD_diss	0	1	49	46	1	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	0	0	0	2	0	64	50	0	1	3	
97	14.40810013056024	HIF-1αβ_ass	0	1	49	45	2	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	0	0	0	2	0	63	50	0	1	3	
98	14.506830940269266	HIF-1α-PHD_ass	0	2	48	45	2	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	0	0	0	2	0	62	50	0	1	3	
99	14.727835397186846	HIF-1α-PHD_ass	0	3	47	45	2	3	0	47	6	1	1	4	1	1	8	2	2	50	0	0	0	0	0	2	0	61	50	0	1	3	
100	14.756842384410003	HIF-1αβ-HRE_diss	0	3	47	45	3	2	0	48	6	1	1	4	1	1	8	2	2	50	0	0	0	0	0	2	0	61	50	0	1	3	
